,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,70,31,0.3861386100382316,0.07599699016102558,15.246913580246913,0.5546558704453441,6.3206277802769035,15.246913580246913,685,1235,2.798845836768343,2,7.42995951417004
1,38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,61,36,0.25773195610585614,0.1021052630504155,11.837837837837839,0.4486301369863014,4.914587189929656,11.837837837837839,393,871,2.523201856148492,7,6.7405281285878305
2,39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,69,37,0.3018867896048416,0.08998302199492103,12.415730337078651,0.5619909502262443,5.191088514921958,12.415730337078651,621,1100,2.7791970802919708,3,7.425454545454546
3,40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,67,22,0.5056179718469891,0.09100204489672592,11.32183908045977,0.4416243654822335,4.705385378376802,11.32183908045977,435,980,2.574380165289256,18,6.698979591836735
4,41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,61,23,0.45238094699546494,0.0731707316435795,12.741176470588234,0.4598337950138504,5.280404106240834,12.741176470588234,498,1075,2.5813510941960036,13,6.941395348837209
5,42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,48,22,0.37142856612244907,0.0822561691160327,13.271186440677965,0.47126436781609193,5.496980323397623,13.271186440677965,369,778,2.565891472868217,19,7.0012853470437015
6,43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,30,12,0.4285714183673472,0.07191780809603115,10.6,0.47547169811320755,4.4301886792452825,10.6,252,526,2.5895953757225434,8,7.0418250950570345
8,45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,41,13,0.5185185089163239,0.10018552857108436,12.8,0.44140625,5.2965625,12.8,226,511,2.4493041749502984,3,6.726027397260274
9,46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,70,39,0.2844036671155627,0.08068097699431459,14.466666666666667,0.48310291858678955,5.9799078341013825,14.466666666666667,629,1296,2.65078125,10,6.869598765432099
10,47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,50,61,-0.09909909820631443,0.07945597703689622,11.567307692307692,0.4630091438071488,4.812126734445936,11.567307692307692,557,1196,2.5121338912133893,2,6.903846153846154
11,48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,40,20,0.3333333277777779,0.0724637680284254,13.372881355932204,0.550063371356147,5.569177890915341,13.372881355932204,434,786,2.8244274809160306,9,7.5534351145038165
12,49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,34,28,0.09677419198751304,0.06783369795641828,11.090909090909092,0.4519906323185012,4.617159889291037,11.090909090909092,386,853,2.5903030303030303,7,6.708089097303635
13,50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,62,23,0.4588235240138409,0.0938189844439084,11.775,0.47983014861995754,4.901932059447983,11.775,452,939,2.620985010706638,33,6.975505857294995
